site_id,site_name_short,water_body,date,type,do_mg,sal,tss,n_total,p_po4,p_total
369,Long Reef,Port Phillip  Bay,1991-01-10,surface,8.0,34.0,2.5,720.0,340.0,360.0
939,Patterson River,Port Phillip  Bay,1991-01-10,surface,8.0,32.0,6.5,350.0,100.0,130.0
1229,Central,Port Phillip  Bay,1991-01-10,surface,7.7,34.0,2.0,160.0,72.0,81.0
1282,Dromana,Port Phillip  Bay,1991-01-10,surface,7.5,35.0,1.8,150.0,63.0,70.0
1911,Corio,Port Phillip  Bay,1991-01-10,surface,7.1,35.0,2.4,210.0,96.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1991-01-10,surface,6.5,27.0,4.1,540.0,100.0,120.0
1229,Central,Port Phillip  Bay,1991-02-04,surface,7.7,35.0,7.2,160.0,66.0,74.0
1911,Corio,Port Phillip  Bay,1991-02-04,surface,7.7,36.0,3.6,220.0,100.0,110.0
369,Long Reef,Port Phillip  Bay,1991-02-05,surface,8.2,35.0,2.7,220.0,95.0,110.0
939,Patterson River,Port Phillip  Bay,1991-02-05,surface,5.4,34.0,2.0,180.0,82.0,93.0
1282,Dromana,Port Phillip  Bay,1991-02-05,surface,7.7,35.0,1.4,170.0,67.0,74.0
1991,Hobsons Bay,Port Phillip  Bay,1991-02-05,surface,7.8,34.0,3.0,220.0,100.0,120.0
939,Patterson River,Port Phillip  Bay,1991-03-05,surface,5.2,35.0,1.7,150.0,77.0,87.0
1282,Dromana,Port Phillip  Bay,1991-03-05,surface,7.6,35.0,1.9,140.0,62.0,71.0
369,Long Reef,Port Phillip  Bay,1991-03-08,surface,5.4,35.0,5.8,430.0,290.0,340.0
1229,Central,Port Phillip  Bay,1991-03-08,surface,7.3,35.0,2.7,150.0,66.0,85.0
1282,Dromana,Port Phillip  Bay,1991-03-08,surface,7.0,35.0,2.3,190.0,68.0,85.0
1911,Corio,Port Phillip  Bay,1991-03-08,surface,4.8,36.0,2.6,180.0,94.0,120.0
1991,Hobsons Bay,Port Phillip  Bay,1991-03-08,surface,6.9,35.0,4.1,200.0,88.0,110.0
369,Long Reef,Port Phillip  Bay,1991-04-23,surface,7.7,36.0,5.5,190.0,90.0,100.0
939,Patterson River,Port Phillip  Bay,1991-04-23,surface,5.3,35.0,4.2,210.0,94.0,110.0
1229,Central,Port Phillip  Bay,1991-04-23,surface,7.2,36.0,2.1,150.0,80.0,91.0
1282,Dromana,Port Phillip  Bay,1991-04-23,surface,7.7,36.0,2.1,150.0,48.0,58.0
1911,Corio,Port Phillip  Bay,1991-04-23,surface,6.2,37.0,2.9,210.0,94.0,110.0
1991,Hobsons Bay,Port Phillip  Bay,1991-04-23,surface,7.5,35.0,4.0,200.0,98.0,100.0
939,Patterson River,Port Phillip  Bay,1991-06-13,surface,8.1,35.0,1.9,170.0,78.0,82.0
1282,Dromana,Port Phillip  Bay,1991-06-13,surface,8.3,35.0,2.4,150.0,66.0,74.0
1911,Corio,Port Phillip  Bay,1991-06-13,surface,8.6,35.0,4.1,370.0,120.0,130.0
369,Long Reef,Port Phillip  Bay,1991-06-27,surface,8.3,35.0,2.3,710.0,210.0,230.0
1229,Central,Port Phillip  Bay,1991-06-27,surface,8.3,35.0,1.6,140.0,62.0,71.0
1991,Hobsons Bay,Port Phillip  Bay,1991-06-27,surface,7.5,34.0,4.2,220.0,85.0,91.0
369,Long Reef,Port Phillip  Bay,1991-10-24,surface,9.1,35.0,3.7,220.0,100.0,120.0
939,Patterson River,Port Phillip  Bay,1991-10-24,surface,7.8,34.0,2.4,210.0,68.0,86.0
1229,Central,Port Phillip  Bay,1991-10-24,surface,8.5,34.0,2.5,160.0,71.0,79.0
1282,Dromana,Port Phillip  Bay,1991-10-24,surface,8.3,34.0,2.5,150.0,50.0,57.0
1991,Hobsons Bay,Port Phillip  Bay,1991-10-24,surface,6.9,34.0,3.1,170.0,76.0,92.0
1911,Corio,Port Phillip  Bay,1991-11-07,surface,8.2,35.0,2.3,180.0,80.0,91.0
369,Long Reef,Port Phillip  Bay,1991-12-12,surface,7.8,35.0,9.4,210.0,60.0,90.0
939,Patterson River,Port Phillip  Bay,1991-12-12,surface,8.0,35.0,2.1,140.0,40.0,66.0
1229,Central,Port Phillip  Bay,1991-12-12,surface,8.0,35.0,3.8,160.0,54.0,77.0
1282,Dromana,Port Phillip  Bay,1991-12-12,surface,8.0,35.0,1.6,140.0,33.0,57.0
1911,Corio,Port Phillip  Bay,1991-12-12,surface,7.7,36.0,3.8,190.0,69.0,91.0
1991,Hobsons Bay,Port Phillip  Bay,1991-12-12,surface,8.2,34.0,6.0,200.0,77.0,100.0
369,Long Reef,Port Phillip  Bay,1991-12-30,surface,6.9,35.0,9.2,300.0,87.0,110.0
939,Patterson River,Port Phillip  Bay,1991-12-30,surface,7.8,35.0,3.1,160.0,71.0,84.0
1229,Central,Port Phillip  Bay,1991-12-30,surface,6.9,35.0,4.3,180.0,59.0,80.0
1282,Dromana,Port Phillip  Bay,1991-12-30,surface,7.7,35.0,5.3,140.0,55.0,66.0
1911,Corio,Port Phillip  Bay,1991-12-30,surface,7.5,35.0,4.5,200.0,79.0,95.0
1991,Hobsons Bay,Port Phillip  Bay,1991-12-30,surface,7.5,29.0,3.8,360.0,71.0,110.0
369,Long Reef,Port Phillip  Bay,1992-01-21,surface,5.7,35.0,1.6,170.0,72.0,84.0
939,Patterson River,Port Phillip  Bay,1992-01-21,surface,7.9,34.0,1.4,160.0,59.0,85.0
1229,Central,Port Phillip  Bay,1992-01-21,surface,7.6,34.0,1.8,160.0,63.0,78.0
1282,Dromana,Port Phillip  Bay,1992-01-21,surface,7.7,35.0,2.5,180.0,49.0,61.0
1911,Corio,Port Phillip  Bay,1992-01-21,surface,7.5,36.0,1.6,200.0,89.0,100.0
1991,Hobsons Bay,Port Phillip  Bay,1992-01-21,surface,7.6,34.0,2.3,180.0,76.0,95.0
369,Long Reef,Port Phillip  Bay,1992-02-26,surface,4.2,36.0,3.2,180.0,88.0,100.0
1229,Central,Port Phillip  Bay,1992-02-26,surface,7.9,35.0,3.0,150.0,67.0,80.0
1911,Corio,Port Phillip  Bay,1992-02-26,surface,7.6,36.0,0.75,190.0,90.0,110.0
